1,2,8,47,31,1
0,1,99,88,91,1
1,2,37,10,69,9
1,1,53,61,67,2
0,3,85,85,7,6
0,1,53,62,62,2
0,4,28,81,24,7
0,1,58,73,48,8
0,1,74,9,65,5
1,4,25,88,2,7
1,4,20,55,85,5
1,3,96,66,97,1
1,1,54,77,81,9
1,3,28,25,78,10
1,3,94,3,87,1
0,3,76,94,36,5
0,2,2,48,79,7
1,2,6,58,97,8
0,4,69,17,100,10
0,4,33,38,79,9
0,4,7,40,19,2
1,2,23,33,87,6
0,3,84,53,36,7
0,4,56,36,9,2
0,1,77,17,82,1
1,1,85,23,92,1
0,3,65,72,49,10
0,2,16,55,5,6
1,1,88,6,69,8
0,4,84,74,87,5
0,3,100,52,41,7
1,3,96,2,62,8
1,3,21,70,60,1
1,3,86,10,29,3
0,1,86,76,91,8
1,4,55,10,78,7
0,4,79,81,27,5
1,3,44,26,15,10
0,4,94,79,30,2
1,4,5,40,83,10
1,4,36,62,45,9
0,3,56,19,41,9
1,4,27,82,15,4
1,3,29,33,69,9
0,3,56,43,52,7
1,4,26,56,16,1
1,3,76,41,33,6
0,4,70,75,96,1
0,4,76,45,57,9
0,4,42,57,43,9
0,4,60,25,78,10
0,4,62,15,51,7
0,4,66,40,92,3
0,4,34,41,40,4
0,2,71,59,5,9
0,3,12,11,36,5
0,1,3,73,10,10
0,4,30,85,56,10
1,2,17,85,29,5
1,2,17,65,54,4
1,3,48,43,61,1
1,4,76,69,21,8
1,3,52,14,62,10
0,4,19,61,16,3
0,1,19,93,56,7
1,3,59,59,71,8
0,2,96,33,60,9
1,1,35,46,19,5
0,4,86,92,56,10
1,1,19,87,100,5
0,3,4,48,15,3
0,3,50,39,60,8
1,4,32,70,19,5
0,4,22,91,49,1
1,3,52,14,7,9
1,3,82,85,13,9
0,4,68,82,68,5
0,1,37,67,64,4
0,3,20,34,82,10
0,1,76,38,52,3
0,3,30,14,38,7
1,1,14,9,53,1
1,1,53,80,9,8
0,2,57,25,7,7
1,1,12,53,25,3
0,3,92,67,20,10
0,4,74,69,29,8
1,4,93,53,93,7
1,4,48,27,18,3
0,2,94,52,65,4
1,1,23,77,91,7
0,2,97,20,16,2
0,4,37,80,20,9
0,2,90,43,73,2
0,2,86,42,33,3
1,1,51,71,57,9
1,4,26,53,46,1
0,2,95,33,37,6
1,4,40,77,3,8
0,2,24,99,58,5
